Festival Name,Media 1 Festival,Media 2 Festival,Media 3 Festival,Description,Lineup artiste 1,Photo Lineup artiste 1,Lineup artiste 2,Photo Lineup artiste 2,Lineup artiste 3,Photo Lineup artiste 3,Lineup artiste 4,Photo Lineup artiste 4,Dates début,Dates fin,Genre,City,Country,Venue,Capacity,Website,Ticket Price (EUR),Accommodation Options,Nearest Airport,Atmosphere,Notes,Ticket Type,Currency,Price Tier 1,Price Tier 2,Price Tier 3,Description Hébergement Petit Groupe 1,Copie de  URL Hébergement Petit Groupe 1,Distance Hébergement Petit Groupe 1,Capacité Hebergement Petit Groupe 1,Prix/nuit Hébergement Petit Groupe 1,Prix total (3 nuits) Hébergement Petit Groupe 1,Équipements Hébergement Petit Groupe 1,Photo Hébergement Petit Groupe 1,Temps voiture Hébergement Petit Groupe 1, Description Hébergement Petit Groupe 2,URL Hébergement Petit Groupe 2,Distance Hébergement Petit Groupe 2,Capacité Hébergement Petit Groupe 2,Prix/nuit Hébergement Petit Groupe 2,Prix total (3 nuits) Hébergement Petit Groupe 2,Équipements Hébergement Petit Groupe 2,Photo Hébergement Petit Groupe 2,Temps voiture Hébergement Petit Groupe 2,Description Hébergement Petit Groupe 3,URL Hébergement Petit Groupe 3,Distance Hébergement Petit Groupe 3,Capacité Hébergement Petit Groupe 3,Prix/nuit Hébergement Petit Groupe 3,Prix total (3 nuits) Hébergement Petit Groupe 3,Équipements Hébergement Petit Groupe 3,Photo Hébergement Petit Groupe 3,Temps voiture Hébergement Petit Groupe 3,Description Hébergement Groupe Moyen 1,URL Hébergement Groupe Moyen 1,Distance Hébergement Groupe Moyen 1,Capacité Hébergement Groupe Moyen 1,Prix/nuit Hébergement Groupe Moyen 1,Prix total (3 nuits) Hébergement Groupe Moyen 1,Équipements Hébergement Groupe Moyen 1,Photo Hébergement Groupe Moyen 1,Temps voiture Hébergement Groupe Moyen 1,Description Hébergement Groupe Moyen 2,URL Hébergement Groupe Moyen 2,Distance Hébergement Groupe Moyen 2,Capacité Hébergement Groupe Moyen 2,Prix/nuit Hébergement Groupe Moyen 2,Prix total (3 nuits) Hébergement Groupe Moyen 2,Équipements Hébergement Groupe Moyen 2,Photo Hébergement Groupe Moyen 2,Temps voiture Hébergement Groupe Moyen 2,Description Hébergement Groupe Moyen 3,URL Hébergement Groupe Moyen 3,Distance Hébergement Groupe Moyen 3,Capacité Hébergement Groupe Moyen 3,Prix/nuit Hébergement Groupe Moyen 3,Prix total (3 nuits) Hébergement Groupe Moyen 3,Équipements Hébergement Groupe Moyen 3,Photo Hébergement Groupe Moyen 3,Temps voiture Hébergement Groupe Moyen 3,Description Hébergement Groupe Large 1,URL Hébergement Groupe Large 1,Distance Hébergement Groupe Large 1,Capacité Hébergement Groupe Large 1,Prix/nuit Hébergement Groupe Large 1,Prix total (3 nuits) Hébergement Groupe Large 1,Équipements Hébergement Groupe Large 1,Photo Hébergement Groupe Large 1,Temps voiture Hébergement Groupe Large 1,Description Hébergement Groupe Large 2,URL Hébergement Groupe Large 2,Distance Hébergement Groupe Large 2,Capacité Hébergement Groupe Large 2,Prix/nuit Hébergement Groupe Large 2,Prix total (3 nuits) Hébergement Groupe Large 2,Équipements Hébergement Groupe Large 2,Photo Hébergement Groupe Large 2,Temps voiture Hébergement Groupe Large 2,Description Hébergement Groupe Large 3,URL Hébergement Groupe Large 3,Distance Hébergement Groupe Large 3,Capacité Hébergement Groupe Large 3,Prix/nuit Hébergement Groupe Large 3,Prix total (3 nuits) Hébergement Groupe Large 3,Équipements Hébergement Groupe Large 3,Photo Hébergement Groupe Large 3,Temps voiture Hébergement Groupe Large 3,Description Hébergement Très Grand Groupe 1,URL Hébergement Très Grand Groupe 1,Distance Hébergement Très Grand Groupe 1,Capacité Hébergement Très Grand Groupe 1,Prix/nuit Hébergement Très Grand Groupe 1, Prix total (3 nuits) Hébergement Très Grand Groupe 1,Équipements Hébergement Très Grand Groupe 1,Photo Hébergement Très Grand Groupe 1,Temps voiture Hébergement Très Grand Groupe 1,Description Hébergement Très Grand Groupe 2,URL Hébergement Très Grand Groupe 2,Distance Hébergement Très Grand Groupe 2,Capacité Hébergement Très Grand Groupe 2,Prix/nuit Hébergement Très Grand Groupe 2,Prix total (3 nuits) Hébergement Très Grand Groupe 2,Équipements Hébergement Très Grand Groupe 2,Photo Hébergement Très Grand Groupe 2,Temps voiture Hébergement Très Grand Groupe 2,Description Vol 1,URL Vol 1,Aéroport de départ 1,Aéroport d’arrivée 1,Date Aller 1,Date Retour 1,Classe 1,Prix indicatif unitaire 1,Compagnie aérienne 1,Durée estimée du vol
Tomorrowland,,,,"Tomorrowland est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in plaines désertiques.",Martin Garrix,,Charlotte de Witte,,David Guetta,,Tale Of Us,,2026-08-18,2026-08-21,Trance,"Boom 
",Belgium,West Evan Indoor Club,5961,https://www.tomorrowland.com,121,Glamping,West Evan International Airport,One-stage intimate,Renowned for immersive experience and world-class DJs.,Camping Pass,EUR,69,193,563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awakenings Festival,,,,"Awakenings Festival est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in forêts isolées.",Amelie Lens,,Adam Beyer,,Nina Kraviz,,Reinier Zonneveld,,2026-07-21,2026-07-23,Trance,Hilvarenbeek,Netherlands,Coleside Open Air,50713,https://www.awakeningsfestival.com,120,Camping,Coleside International Airport,Desert gathering,Renowned for immersive experience and world-class DJs.,General Admission,USD,51,165,583,"Appartement cosy, 2 chambres, cuisine ouverte, petite terrasse",https://airtable.com/appdJC3RsnMtbbMzf/tblf3dt81sLe7Hs8Y/viwmbKXt5kS1I4jpS/recE6QzudI144tx0v/fldwWavYFZBdlJhcw?copyLinkToCellOrRecordOrigin=gridView,5 km,4 personnes,120 €,360 €,"Cuisine équipée, Wi‑Fi, parking privé",,10 min,"Studio duplex, 1 chambre, kitchenette, accès jardin partagé",https://www.airbnb.fr/rooms/49645414,5 km,2 personnes,80 €,240 €,"Kitchenette, Wi‑Fi, machine à laver",,10 min,"Petite maison mitoyenne, 2 chambres, jardin privé avec barbecue",https://www.airbnb.fr/rooms/50207448,6 km,2 personnes,95 €,285 €,"Cuisine, parking, Wi‑Fi",,12 min,"Maison familiale, 4 chambres, grand salon et jardin clos",https://www.airbnb.fr/rooms/823039004411674265,4 km,8 personnes,200 €,600 €,"Cuisine complète, Wi‑Fi, 2 places parking",,8 min,"Villa moderne de 5 pièces, grande terrasse et barbecue",https://www.airbnb.fr/rooms/4488715,6 km,8 personnes,230 €,690 €,"Parking, Wi‑Fi, machine à laver",,11 min,"Grande maison rurale, 4 chambres, jardin, animaux autorisés",https://www.airbnb.fr/rooms/1358714708936017136,7 km,8 personnes,180 €,540 €,"Cuisine équipée, parking, Wi‑Fi",,13 min,"Gîte 6 chambres, grand salon lumineux, cuisine pro",https://www.airbnb.fr/rooms/44146640,4 km,12 personnes,350 €,1 050 €,"Cuisine équipée, parking, Wi‑Fi",,9 min,"Ferme rénovée 5 chambres, jardin avec barbecue",https://www.airbnb.fr/rooms/943429809533878526,8 km (Hilvarenbeek),12 personnes,300 €,900 €,"Cuisine, machine à laver, parking",,15 min,"Grange aménagée style loft, 5 chambres, décor industriel",https://www.airbnb.fr/rooms/52506647,9 km,12 personnes,280 €,840 €,"Cuisine, Wi‑Fi, BBQ",,17 min,"Demeure de campagne, 8 chambres, piscine et grands espaces extérieurs",https://www.airbnb.fr/rooms/582235985162053235,10 km ,16 personnes,550 €,1 650 €,"Piscine, cuisine pro, parking, Wi‑Fi",,18 min,"Manoir 9 chambres, grands salons, jardin fleuri",https://www.airbnb.fr/rooms/582235985162053235,10 km,16 personnes,550 €,1 650 €,"Jardin fleuri, Wi‑Fi, parking",,18 min,Aller-retour Paris Charles de Gaulle (CDG) ➝ Eindhoven (EIN) en classe économique,https://www.kayak.fr/flights/CDG-EIN/2026-06-21/2026-06-23?ucs=w0gm43&sort=bestflight_a#dialog,Paris Charles de Gaulle (CDG),Eindhoven Airport (EIN),21 juillet 2026,23 juillet 2026,Économique,380 €,Air France,Environ 1h15 
Ultra Music Festival,,,,"Ultra Music Festival est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in plaines désertiques.",Armin van Buuren,,Fisher,,Zedd,,Afrojack,,2026-08-24,2026-08-31,Hardstyle,Miami,USA,Stephensmouth Indoor Club,23698,https://www.ultramusicfestival.com,341,Bungalow,Stephensmouth International Airport,Forest rave,Renowned for immersive experience and world-class DJs.,Backstage Pass,GBP,136,234,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Warp,,,,"Time Warp est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in forêts isolées.",Richie Hawtin,,Solomun,,Dixon,,Peggy Gou,,2026-08-23,2026-08-25,Trance,Manheim,Germany,Alexandershire Indoor Club,53592,https://www.timewarp.com,270,"No accommodation included, Hotel, Bungalow",Alexandershire International Airport,One-stage intimate,Renowned for immersive experience and world-class DJs.,Backstage Pass,EUR,59,267,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creamfields,,,,"Creamfields est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in paysages urbains.",Calvin Harris,,Tiësto,,Carl Cox,,Alesso,,2026-07-01,2026-07-08,Techno,New Alanville,USA,New Alanville Open Air,19806,https://www.creamfields.com,159,"Camping, Airbnb, Bungalow",New Alanville International Airport,One-stage intimate,Renowned for immersive experience and world-class DJs.,Camping Pass,USD,65,231,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonar,,,,"Sonar est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in sites côtiers.",Moderat,,Aphex Twin,,Four Tet,,Bicep,,2026-07-19,2026-07-23,Hardstyle,Elizabethberg,Vietnam,Elizabethberg Indoor Club,24587,https://www.sonar.com,311,"Glamping, Camping",Elizabethberg International Airport,Multi-stage,Renowned for immersive experience and world-class DJs.,General Admission,EUR,98,299,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXIT Festival,,,,"EXIT Festival est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in paysages urbains.",DJ Snake,,Boris Brejcha,,Steve Aoki,,Paul Kalkbrenner,,2026-08-17,2026-08-19,Hardstyle,Frederickfurt,Spain,Frederickfurt Open Air,28188,https://www.exitfestival.com,384,"Airbnb, Glamping",Frederickfurt International Airport,Desert gathering,Renowned for immersive experience and world-class DJs.,Backstage Pass,GBP,63,245,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dekmantel,,,,"Dekmantel est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in forêts isolées.",Ben UFO,,Floating Points,,Honey Dijon,,Palms Trax,,2026-08-24,2026-08-26,EDM,New Alejandroberg,Germany,New Alejandroberg Indoor Club,14109,https://www.dekmantel.com,240,"Bungalow, Airbnb",New Alejandroberg International Airport,Forest rave,Renowned for immersive experience and world-class DJs.,Camping Pass,EUR,53,160,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimensions Festival,,,,"Dimensions Festival est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in paysages urbains.",HAAi,,DJ Seinfeld,,KiNK,,Shanti Celeste,,2026-07-08,2026-07-15,EDM,East Juan,USA,East Juan Indoor Club,32678,https://www.dimensionsfestival.com,386,"Glamping, Hotel, Airbnb",East Juan International Airport,One-stage intimate,Renowned for immersive experience and world-class DJs.,VIP,EUR,89,260,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movement Detroit,,,,"Movement Detroit est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in plaines désertiques.",Derrick May,,Jeff Mills,,Carl Craig,,Octave One,,2026-07-24,2026-07-31,House,West Lindseychester,Spain,West Lindseychester Indoor Club,24276,https://www.movementdetroit.com,74,"Airbnb, Glamping",West Lindseychester International Airport,One-stage intimate,Renowned for immersive experience and world-class DJs.,Backstage Pass,EUR,141,263,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
